state;target;timestamp
begin;docker_lu_1;1563809346
end;docker_lu_1;1563809371
begin;bin_lu_1;1563809376
end;bin_lu_1;1563809399
begin;docker_lu_2;1563809399
end;docker_lu_2;1563809423
begin;bin_lu_2;1563809428
end;bin_lu_2;1563809452
begin;docker_lu_3;1563809452
end;docker_lu_3;1563809478
begin;bin_lu_3;1563809483
end;bin_lu_3;1563809506
begin;docker_lu_4;1563809506
end;docker_lu_4;1563809532
begin;bin_lu_4;1563809537
end;bin_lu_4;1563809561
begin;docker_lu_5;1563809561
end;docker_lu_5;1563809586
begin;bin_lu_5;1563809591
end;bin_lu_5;1563809615
begin;docker_lu_6;1563809615
end;docker_lu_6;1563809640
begin;bin_lu_6;1563809645
end;bin_lu_6;1563809672
begin;docker_lu_7;1563809672
end;docker_lu_7;1563809697
begin;bin_lu_7;1563809702
end;bin_lu_7;1563809726
begin;docker_lu_8;1563809726
end;docker_lu_8;1563809751
begin;bin_lu_8;1563809756
end;bin_lu_8;1563809780
begin;docker_lu_9;1563809780
end;docker_lu_9;1563814010
begin;bin_lu_9;1563814015
end;bin_lu_9;1563814038
begin;docker_lu_10;1563814038
end;docker_lu_10;1563814064
begin;bin_lu_10;1563814069
end;bin_lu_10;1563814094
begin;docker_lu_11;1563814094
end;docker_lu_11;1563814119
begin;bin_lu_11;1563814124
end;bin_lu_11;1563814148
begin;docker_lu_12;1563814148
end;docker_lu_12;1563814173
begin;bin_lu_12;1563814178
end;bin_lu_12;1563814203
begin;docker_lu_13;1563814203
end;docker_lu_13;1563814229
begin;bin_lu_13;1563814234
end;bin_lu_13;1563814259
begin;docker_lu_14;1563814259
end;docker_lu_14;1563814284
begin;bin_lu_14;1563814289
end;bin_lu_14;1563814313
begin;docker_lu_15;1563814313
end;docker_lu_15;1563814338
begin;bin_lu_15;1563814343
end;bin_lu_15;1563814368
begin;docker_lu_16;1563814368
end;docker_lu_16;1563814393
begin;bin_lu_16;1563814398
end;bin_lu_16;1563814422
begin;docker_lu_17;1563814422
end;docker_lu_17;1563814447
begin;bin_lu_17;1563814452
end;bin_lu_17;1563814476
begin;docker_lu_18;1563814476
end;docker_lu_18;1563814501
begin;bin_lu_18;1563814506
end;bin_lu_18;1563814530
begin;docker_lu_19;1563814530
